Date,Close,Volume,Open,High,Low
01/16/2025,585.25,13745756,586.07,588.46,580.4
01/15/2025,588.21,12692404,587.01,591.98,584.96
01/14/2025,589.63,9139588,588.64,590.29,587.2
01/13/2025,586.51,7149097,589.17,590.13,584.11
01/12/2025,585.75,11140908,583.57,589.14,579.59
01/11/2025,585.57,7505041,585.72,587.78,582.92
01/10/2025,588.78,14907608,589.09,589.84,584.09
01/09/2025,593.57,6689950,593.23,593.97,591.78
01/08/2025,590.74,11340825,591.32,593.22,586.25
01/07/2025,593.11,7358244,591.72,594.55,589.21
01/06/2025,590.51,6644078,590.12,594.76,585.95
01/05/2025,588.19,8369361,588.83,589.69,585.83
01/04/2025,591.09,6732286,591.54,593.76,588.99
01/03/2025,592.91,10365643,593.41,598.32,588.5
01/02/2025,597.26,12551599,596.64,597.64,591.78
01/01/2025,596.09,8512597,596.25,598.64,595.08
12/31/2024,597.45,12588998,596.16,601.83,592.15
12/30/2024,599.18,13495006,598.98,600.48,594.47
12/29/2024,599.91,6827629,598.4,603.0,596.84
12/28/2024,600.83,7860394,600.78,601.87,599.99
12/27/2024,600.77,8462624,599.63,604.37,598.16
12/26/2024,601.77,6488195,601.36,606.33,599.78
12/25/2024,605.39,11912653,602.83,607.56,600.58
12/24/2024,606.9,9231217,605.98,607.07,602.16
12/23/2024,606.27,9787890,605.47,611.02,602.67
12/22/2024,604.94,10006620,605.02,608.6,604.87
12/21/2024,600.27,8769041,601.22,602.94,595.84
12/20/2024,600.32,6459239,599.58,601.67,595.43
12/19/2024,603.03,11887430,601.87,605.33,599.72
12/18/2024,601.22,5318786,601.71,602.87,598.34
12/17/2024,601.43,12186536,600.68,604.7,599.51
12/16/2024,601.17,12097134,601.92,606.03,596.97
12/15/2024,604.45,7595468,605.14,606.55,602.25
12/14/2024,604.44,11910966,603.7,607.58,603.09
12/13/2024,603.17,7069968,602.47,607.78,598.61
12/12/2024,605.18,14727759,605.25,606.98,602.29
12/11/2024,606.77,8456185,608.74,609.2,605.48
12/10/2024,609.77,7637606,609.97,614.26,605.07
12/09/2024,609.91,13472482,610.5,613.58,605.72
12/08/2024,610.53,12633529,610.37,612.49,605.89
12/07/2024,610.51,8913743,609.78,613.3,608.71
12/06/2024,610.96,9961708,611.55,615.37,609.62
12/05/2024,608.08,11270614,607.09,610.87,605.65
12/04/2024,607.49,12167826,608.46,610.82,607.25
12/03/2024,607.44,9433380,606.0,609.45,604.67
12/02/2024,610.1,11362073,608.58,614.17,605.45
12/01/2024,609.74,5103998,608.72,610.56,605.54
11/30/2024,612.79,14809748,613.82,616.16,608.44
11/29/2024,608.9,8562362,608.24,612.27,606.5
11/28/2024,608.83,14131542,608.66,613.4,604.88
11/27/2024,610.48,12917643,611.12,614.31,608.32
11/26/2024,606.95,5296043,607.44,609.76,606.61
11/25/2024,609.04,13168143,609.57,612.72,605.76
11/24/2024,608.2,8024917,609.41,610.13,606.68
11/23/2024,605.57,14080093,605.56,607.18,602.92
11/22/2024,604.4,11240786,605.74,609.84,603.06
11/21/2024,605.54,7678464,605.91,607.49,602.28
11/20/2024,606.34,12895386,606.87,611.73,605.2
11/19/2024,605.13,5791508,606.1,606.39,604.75
11/18/2024,604.28,10599351,605.11,609.34,601.6
11/17/2024,609.29,14329779,608.91,610.2,607.71
11/16/2024,611.31,11205493,612.02,613.16,610.35
11/15/2024,611.22,7955733,611.09,614.26,607.2
11/14/2024,609.29,9231996,609.42,610.69,609.16
11/13/2024,607.56,10249803,607.34,612.05,606.19
11/12/2024,605.58,13335960,606.34,608.98,602.76
11/11/2024,606.67,6530948,605.16,611.42,603.86
11/10/2024,606.65,14385767,608.63,612.89,605.33
11/09/2024,606.11,12345969,605.98,607.69,604.97
11/08/2024,606.76,8113002,609.18,612.43,602.45
11/07/2024,605.09,8929621,605.3,607.9,604.91
11/06/2024,602.34,9449545,602.7,606.56,597.94
11/05/2024,602.47,12921719,602.36,604.21,599.62
11/04/2024,604.41,7493449,603.7,608.38,600.44
11/03/2024,603.95,7310768,603.44,608.36,601.46
11/02/2024,604.94,11059037,606.43,608.67,602.86
11/01/2024,603.41,12499133,603.07,605.57,600.4
10/31/2024,601.88,6227936,602.54,604.14,601.55
10/30/2024,606.17,9504520,606.61,609.2,605.69
10/29/2024,605.03,7660372,606.32,609.04,604.23
10/28/2024,605.18,13675502,603.72,608.84,603.49
10/27/2024,606.84,6298522,606.16,611.64,602.81
10/26/2024,606.15,6847313,605.71,609.3,601.77
10/25/2024,604.11,5267640,602.94,606.2,599.88
10/24/2024,606.28,13701804,605.67,607.84,602.38
10/23/2024,605.85,7136970,607.01,610.82,603.95
